veh_num,time_str,longitude,latitude
v1,2013-01-14T21:05:01Z,-83.30049269,42.50082028
v2,2013-01-14T21:05:01Z,-83.30158999,42.49805723
v1,2013-01-14T21:05:02Z,-83.30064104,42.50081619
v2,2013-01-14T21:05:02Z,-83.30171392,42.49811132
v1,2013-01-14T21:05:03Z,-83.30078939,42.50081209
v2,2013-01-14T21:05:03Z,-83.30183786,42.49816542
v1,2013-01-14T21:05:04Z,-83.30093773,42.50080800
v2,2013-01-14T21:05:04Z,-83.30196179,42.49821951
v1,2013-01-14T21:05:05Z,-83.30108608,42.50080391
v2,2013-01-14T21:05:05Z,-83.30208573,42.49827360
v1,2013-01-14T21:05:06Z,-83.30123442,42.50079982
v2,2013-01-14T21:05:06Z,-83.30220966,42.49832770
v1,2013-01-14T21:05:07Z,-83.30138277,42.50079573
v2,2013-01-14T21:05:07Z,-83.30233360,42.49838179
v1,2013-01-14T21:05:08Z,-83.30153111,42.50079163
v2,2013-01-14T21:05:08Z,-83.30245753,42.49843588
v1,2013-01-14T21:05:09Z,-83.30167946,42.50078754
v2,2013-01-14T21:05:09Z,-83.30258147,42.49848997
v1,2013-01-14T21:05:10Z,-83.30182780,42.50078345
v2,2013-01-14T21:05:10Z,-83.30270540,42.49854407
v1,2013-01-14T21:05:11Z,-83.30197615,42.50077936
v2,2013-01-14T21:05:11Z,-83.30282934,42.49859816
v1,2013-01-14T21:05:12Z,-83.30212449,42.50077527
v2,2013-01-14T21:05:12Z,-83.30295327,42.49865225
v1,2013-01-14T21:05:13Z,-83.30227284,42.50077118
v2,2013-01-14T21:05:13Z,-83.30307721,42.49870635
v1,2013-01-14T21:05:14Z,-83.30242118,42.50076708
v2,2013-01-14T21:05:14Z,-83.30320115,42.49876044
v1,2013-01-14T21:05:15Z,-83.30256953,42.50076299
v2,2013-01-14T21:05:15Z,-83.30332508,42.49881453
v1,2013-01-14T21:05:16Z,-83.30271787,42.50075890
v2,2013-01-14T21:05:16Z,-83.30344902,42.49886863
v1,2013-01-14T21:05:17Z,-83.30286622,42.50075481
v2,2013-01-14T21:05:17Z,-83.30357295,42.49892272
v1,2013-01-14T21:05:18Z,-83.30301456,42.50075072
v2,2013-01-14T21:05:18Z,-83.30369689,42.49897681
v1,2013-01-14T21:05:19Z,-83.30316291,42.50074662
v2,2013-01-14T21:05:19Z,-83.30382082,42.49903090
v1,2013-01-14T21:05:20Z,-83.30331125,42.50074253
v2,2013-01-14T21:05:20Z,-83.30394476,42.49908500
v1,2013-01-14T21:05:21Z,-83.30345960,42.50073844
v2,2013-01-14T21:05:21Z,-83.30406869,42.49913909
v1,2013-01-14T21:05:22Z,-83.30360795,42.50073435
v2,2013-01-14T21:05:22Z,-83.30419263,42.49919318
v1,2013-01-14T21:05:23Z,-83.30375629,42.50073026
